ObjectName,R,G,B
SM_Road_01_0_SM_Road_01_2,255,255,255
SM_Road_01_0_SM_Road_2,255,255,127
SM_Road_01_0_SM_Road_3,255,127,255
SM_Road_01_0_SM_Road_4,255,127,127
SM_Road_01_0_SM_Road_5,127,255,255
SM_Road_01_0_SM_Road_6,127,255,127
SM_Road_01_0_SM_Road_7,127,127,255
SM_Delineator_01_0_SM_Delineator_01_321,127,127,127
SM_Delineator_01_0_SM_Delineator_3,255,255,191
SM_Delineator_01_0_SM_Delineator_5,255,127,191
SM_Delineator_01_0_SM_Delineator_7,127,255,191
SM_Delineator_01_0_SM_Delineator_9,127,127,191
SM_Delineator_01_0_SM_Delineator_11,255,191,255
SM_Delineator_01_0_SM_Delineator_341,255,191,127
SM_Delineator_01_0_SM_Delineator_342,127,191,255
SM_Delineator_01_0_SM_Delineator_343,127,191,127
SM_Delineator_01_0_SM_Delineator_344,255,191,191
SM_Delineator_01_0_SM_Delineator_345,127,191,191
SM_Delineator_01_0_SM_Delineator_346,191,255,255
SM_KangarooSign_01_0_SM_KangarooSign_01_349,191,255,127
SM_KangarooSign_01_0_SM_KangarooSign_352,191,127,255
SM_KangarooSign_01_0_SM_KangarooSign_3,191,127,127
SM_KangarooSign_01_0_SM_KangarooSign_4,191,255,191
SM_Scatter_03_A_0_InstancedFoliageActor_0,191,127,191
SM_Scatter_03_B_1_InstancedFoliageActor_0,191,191,255
SM_Scatter_02_A_2_InstancedFoliageActor_0,191,191,127
SM_Scatter_02_B_3_InstancedFoliageActor_0,191,191,191
SM_Scatter_02_C_4_InstancedFoliageActor_0,255,255,95
SM_Scatter_02_D_5_InstancedFoliageActor_0,255,127,95
SM_Scatter_05_6_InstancedFoliageActor_0,255,191,95
SM_Scatter_02_E_7_InstancedFoliageActor_0,127,255,95
SM_Scatter_02_F_8_InstancedFoliageActor_0,127,127,95
SM_Scatter_02_G_9_InstancedFoliageActor_0,127,191,95
SM_Scatter_02_H_10_InstancedFoliageActor_0,191,255,95
SM_Scatter_02_I_11_InstancedFoliageActor_0,191,127,95
SM_Scatter_02_J_12_InstancedFoliageActor_0,191,191,95
SM_Scatter_04_D_13_InstancedFoliageActor_0,255,95,255
SM_Scatter_01_B_14_InstancedFoliageActor_0,255,95,127
SM_Scatter_01_C_15_InstancedFoliageActor_0,255,95,191
SM_Scatter_01_A_16_InstancedFoliageActor_0,127,95,255
SM_Scatter_01_K_17_InstancedFoliageActor_0,127,95,127
SM_Scatter_01_O_18_InstancedFoliageActor_0,127,95,191
SM_Scatter_01_J_19_InstancedFoliageActor_0,191,95,255
SM_Scatter_01_L_20_InstancedFoliageActor_0,191,95,127
SM_Scatter_01_N_21_InstancedFoliageActor_0,191,95,191
SM_Scatter_01_P_22_InstancedFoliageActor_0,255,95,95
SM_Tree_L_01_0_SM_Tree_L_01_357,127,95,95
